date,distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Avg Pace,Elev Gain,Avg Stride Length,Gain per KM,Hour,Month,Day,expected_HR,performance_rated
2020-07-27 12:29:16,10.0,741,12:29,165,181,163,12.811387900355871,179,1.31,17.9,12,7,27,158.67341637010674,worse
2020-07-24 10:10:22,13.0,1017,10:10,168,183,162,12.413793103448276,221,1.27,17.0,10,7,24,156.31965517241377,worse
2020-07-22 12:53:16,10.0,772,12:53,161,181,161,12.121212121212121,163,1.25,16.3,12,7,22,154.58757575757573,worse
2020-07-21 15:15:27,5.61,413,15:15,144,177,153,10.315186246418339,141,1.12,25.13368983957219,15,7,21,143.89590257879655,worse
2020-07-20 12:33:26,3.97,253,12:33,163,176,166,14.754098360655739,3,1.48,0.7556675062972292,12,7,20,170.17426229508197,better
2020-07-20 12:09:08,3.94,336,12:09,160,181,159,11.009174311926605,236,1.15,59.898477157360404,12,7,20,148.0043119266055,worse
2020-07-15 16:14:30,3.97,267,16:14,150,161,162,13.043478260869566,3,1.34,0.7556675062972292,16,7,15,160.04739130434783,better
2020-07-15 15:52:12,3.92,338,15:52,162,182,159,10.97560975609756,242,1.15,61.734693877551024,15,7,15,147.80560975609757,worse
2020-07-14 11:39:34,6.02,431,11:39,151,179,157,12.0,149,1.27,24.750830564784057,11,7,14,153.87,better
2020-06-30 07:43:46,8.13,574,07:43,154,175,161,12.244897959183673,127,1.27,15.621156211562115,7,6,30,155.31979591836733,better
2020-06-26 18:45:35,7.02,479,18:45,161,181,163,13.793103448275863,9,1.41,1.2820512820512822,18,6,26,164.48517241379312,better
2020-06-21 15:45:13,15.02,1079,15:45,162,177,163,13.043478260869566,15,1.34,0.9986684420772304,15,6,21,160.04739130434783,worse
2020-06-17 18:13:09,10.0,674,18:13,160,180,163,13.740458015267176,11,1.4,1.1,18,6,17,164.17351145038168,better
2020-06-14 17:53:01,16.04,975,17:53,147,166,162,12.413793103448276,20,1.28,1.2468827930174564,17,6,14,156.31965517241377,better
2020-06-10 17:12:16,5.5,407,17:12,144,157,156,10.682492581602373,10,1.14,1.8181818181818181,17,6,10,146.07035608308604,better
2020-06-09 11:13:42,7.0,463,11:13,163,181,167,13.8996138996139,12,1.39,1.7142857142857142,11,6,9,165.1157142857143,better
2020-06-01 13:36:53,7.02,482,13:36,165,181,164,13.48314606741573,10,1.37,1.4245014245014247,13,6,1,162.65022471910112,worse
2020-05-14 13:07:09,8.0,568,13:07,144,164,157,10.557184750733137,137,1.12,17.125,13,5,14,145.32853372434016,better
